threads,task,scheduler,chunk,time_s
1,mandelbrot,static,auto,12.0047
1,blur,static,auto,2.4073
1,mandelbrot,dynamic,1,12.0589
1,blur,dynamic,1,2.4367
1,mandelbrot,dynamic,4,12.0830
1,blur,dynamic,4,2.4485
1,mandelbrot,dynamic,16,12.0456
1,blur,dynamic,16,2.4516
1,mandelbrot,dynamic,64,12.0446
1,blur,dynamic,64,2.5487
1,mandelbrot,guided,1,12.1778
1,blur,guided,1,2.5518
1,mandelbrot,guided,4,12.2483
1,blur,guided,4,2.5538
2,mandelbrot,static,auto,6.9424
2,blur,static,auto,1.5201
2,mandelbrot,dynamic,1,6.8481
2,blur,dynamic,1,1.5318
2,mandelbrot,dynamic,4,6.7928
2,blur,dynamic,4,1.5589
2,mandelbrot,dynamic,16,6.7984
2,blur,dynamic,16,1.5038
2,mandelbrot,dynamic,64,6.8681
2,blur,dynamic,64,1.5774
2,mandelbrot,guided,1,6.7940
2,blur,guided,1,1.5413
2,mandelbrot,guided,4,6.8458
2,blur,guided,4,1.5117
3,mandelbrot,static,auto,9.2799
3,blur,static,auto,1.5204
3,mandelbrot,dynamic,1,5.4717
3,blur,dynamic,1,1.3305
3,mandelbrot,dynamic,4,5.5125
3,blur,dynamic,4,1.2899
3,mandelbrot,dynamic,16,5.4834
3,blur,dynamic,16,1.2864
3,mandelbrot,dynamic,64,5.4652
3,blur,dynamic,64,1.3194
3,mandelbrot,guided,1,7.8469
3,blur,guided,1,1.3187
3,mandelbrot,guided,4,7.8586
3,blur,guided,4,1.3142
4,mandelbrot,static,auto,6.6061
4,blur,static,auto,1.2695
4,mandelbrot,dynamic,1,4.6957
4,blur,dynamic,1,1.2060
4,mandelbrot,dynamic,4,4.7638
4,blur,dynamic,4,1.1915
4,mandelbrot,dynamic,16,4.6520
4,blur,dynamic,16,1.1896
4,mandelbrot,dynamic,64,4.7172
4,blur,dynamic,64,1.1734
4,mandelbrot,guided,1,5.6763
4,blur,guided,1,1.3137
4,mandelbrot,guided,4,6.3603
4,blur,guided,4,1.3030
5,mandelbrot,static,auto,6.8163
5,blur,static,auto,1.2275
5,mandelbrot,dynamic,1,4.1857
5,blur,dynamic,1,1.0402
5,mandelbrot,dynamic,4,4.3513
5,blur,dynamic,4,1.1009
5,mandelbrot,dynamic,16,4.3008
5,blur,dynamic,16,1.1375
5,mandelbrot,dynamic,64,4.4002
5,blur,dynamic,64,1.1050
5,mandelbrot,guided,1,4.8323
5,blur,guided,1,1.1536
5,mandelbrot,guided,4,5.4011
5,blur,guided,4,1.1847
6,mandelbrot,static,auto,5.6801
6,blur,static,auto,1.1858
6,mandelbrot,dynamic,1,3.7148
6,blur,dynamic,1,1.0080
6,mandelbrot,dynamic,4,3.7524
6,blur,dynamic,4,1.0118
6,mandelbrot,dynamic,16,3.8517
6,blur,dynamic,16,1.1362
6,mandelbrot,dynamic,64,3.7817
6,blur,dynamic,64,1.1097
6,mandelbrot,guided,1,5.1717
6,blur,guided,1,1.1089
6,mandelbrot,guided,4,4.5524
6,blur,guided,4,1.0716
7,mandelbrot,static,auto,5.6516
7,blur,static,auto,1.2862
7,mandelbrot,dynamic,1,3.7117
7,blur,dynamic,1,1.0063
7,mandelbrot,dynamic,4,3.5449
7,blur,dynamic,4,0.9377
7,mandelbrot,dynamic,16,3.4256
7,blur,dynamic,16,1.0156
7,mandelbrot,dynamic,64,3.5328
